TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
80.782222222,-190.921,25.6083,4.54399,-0.445063,0.552296,9.85083,-7.11202,1.1008,0.740806,3.76556,1.42328,1.37157,-1.05708,-0.0956181,0.519983,-1.59915,-0.740254,1.32875,1.14102,0.271919,-2.24148
80.805442177,-212.531,35.538,7.8855,3.78168,5.01008,8.7272,-6.21733,2.00117,-0.923143,1.73646,-0.244451,-1.75181,0.0997597,-0.864627,-1.53005,-1.96193,0.588935,0.18196,3.14992,2.95129,0.60049
80.828662132,-217.938,28.5737,9.511,2.09055,6.9271,6.60745,1.87429,8.65996,-1.95512,-0.982122,1.77106,-0.182753,-2.91004,1.2397,-1.34112,-1.78405,-0.258289,-0.786728,-1.26245,-1.98648,-1.11405
80.851882086,-185.864,10.7857,21.168,2.36931,3.51766,3.11113,2.7871,6.13308,-0.152276,0.698161,0.66684,1.90339,-2.80107,-1.12363,-2.72807,-1.90337,-2.25977,2.25572,2.40449,-1.02394,-2.39735
80.875102041,-197.192,17.2179,14.045,1.93884,7.44996,3.24577,0.0993212,6.79057,2.02369,-1.0549,-2.7145,-0.725497,-1.46816,1.39205,0.506868,-0.521472,0.223136,2.99592,1.21856,-2.24903,-1.81911
80.898321995,-211.688,7.27957,3.80702,-3.50948,-1.88519,3.44239,0.255053,4.09659,-0.259408,0.944611,-1.08172,2.86029,-2.22519,-0.450973,1.41749,1.73001,2.12721,6.60823,2.08458,-0.760287,-0.471066
80.921541950,-200.313,8.96577,2.58526,-0.563587,-1.04057,-0.12321,-3.10671,-1.40165,-6.20979,0.160894,-5.70679,-2.79314,-5.45171,-3.99186,-4.29144,-0.261659,-1.30041,3.32271,1.20801,-3.04643,0.607566
80.944761905,-200.529,18.4706,1.81755,1.69111,1.66744,0.733846,-6.19435,-3.23677,-3.6056,-5.04887,-4.71537,3.23018,-0.139335,-0.0210724,-0.753745,-2.62016,0.0901522,4.70778,3.49186,-2.61507,-0.613237
80.967981859,-158.5,19.5346,-0.694646,6.88415,5.98053,-6.87472,2.8589,-0.227169,-5.47656,-2.34146,-1.4644,-1.50755,-0.604061,1.04936,-3.49935,-1.10334,-0.0241368,2.10624,0.581314,-2.73169,-2.18705
80.991201814,-168.841,25.0799,-1.75821,3.09208,8.41798,-0.27934,0.575001,1.94936,1.98274,1.18668,1.16709,2.17161,-2.37192,0.653268,-2.07256,-1.91352,-1.25766,1.16434,0.113782,-1.53245,-1.26615
81.014421769,-182.789,27.4016,6.60095,3.8406,5.91049,4.57928,-0.797603,0.354003,5.19685,2.46899,-2.78947,1.95538,-1.90721,2.08151,1.61902,4.17895,4.76781,4.07647,1.54812,2.48866,0.828463
81.037641723,-179.253,22.1435,5.58298,1.00983,5.46089,3.37556,-2.35666,0.0421195,2.4517,-1.03178,-2.57214,3.42004,-1.95608,0.192393,2.1497,4.51406,3.43385,3.7805,0.619983,0.793139,-1.358
81.060861678,-178.008,23.0884,4.90101,-4.30055,6.91694,6.20249,0.727626,-0.397225,4.28174,3.25863,-4.89724,4.65907,-1.16787,2.07414,3.0317,4.29602,2.6606,0.1643,0.341681,3.59828,-1.64843
81.084081633,-183.094,22.1305,5.27834,-1.38131,9.10704,4.25391,-1.67447,1.99149,5.86747,6.47184,-3.68675,4.4564,-2.99556,1.01252,3.37135,4.87526,2.57943,1.95457,0.159166,3.99318,-1.74466
81.107301587,-181.664,18.6371,-1.60425,-5.55507,8.32759,6.38148,-0.769164,3.74605,3.35077,4.81091,-0.799718,5.603,-3.24606,-1.87647,0.514571,3.49696,1.31142,-1.62556,-1.43492,-0.64778,-3.42065
81.130521542,-181.708,19.114,-1.32852,-1.96875,9.98658,5.46828,-1.49302,3.73309,2.87853,5.35175,-2.83645,4.69354,-1.92466,2.19178,2.34328,4.12839,0.985353,-0.334407,0.193506,1.28264,-3.54447
81.153741497,-181.04,23.8404,-1.46406,-4.25257,8.27868,6.48742,-4.43338,1.45465,3.01413,5.58515,-1.70903,3.74438,-0.112224,0.511851,2.5674,5.43809,1.428,0.864718,2.35323,1.84618,-3.51028
81.176961451,-187.391,20.54,-0.080296,-1.86364,6.95481,1.85145,-3.88303,1.06855,6.60551,5.49514,-1.79786,1.90888,-3.58046,-0.226102,3.12711,5.23272,2.56067,0.673542,0.48514,0.644155,-2.1075
81.200181406,-174.06,11.7678,2.03294,-4.99807,5.10684,7.28797,-5.30973,-0.424973,3.91592,1.31116,-2.91703,3.44818,2.36751,3.02423,5.33107,5.73194,1.476,-1.26609,2.55925,2.03616,-2.47216
81.223401361,-169.36,10.918,2.73743,-5.45581,5.97618,1.97287,-5.21062,-0.0628918,3.05137,3.17203,-1.12921,1.35133,-0.566053,2.63315,4.91691,5.8707,2.99364,1.89649,1.40136,0.955573,-4.14896
81.246621315,-179.849,21.9222,-1.57311,-5.5685,5.72089,4.5129,-4.95698,-0.0503574,2.45206,3.05164,-0.501097,0.609876,-0.892568,3.81697,4.05274,4.29907,1.29438,0.0655147,1.8363,0.0947749,-4.23642
81.269841270,-195.425,17.4427,-6.73169,-6.34027,-1.26218,-0.723035,-9.67076,-1.69775,0.423236,3.22158,-2.97342,0.431332,0.723738,8.14998,7.20791,6.32135,2.71931,4.00091,3.84939,-0.0163108,-1.11407
